Sentence,Label
Bingo is a classic card game for four of more players.,Fact
Bingo uses two standard 52 playing card decks.,Fact
More decks can be used depending on the number of players and the number of playable spaces.,Fact
"Before gameplay can begin, a caller must be selected.",Act
"To do so, players must choose a random card from a shuffled deck.",?????
The player with the lowest card becomes the caller.,Fact
Ties are broken with repeated drawings.,Fact
"The caller shuffles both decks and then passes out five cards, faced up, to each player.",Act
The other deck is just for the caller.,Fact
The caller then draws cards from the shuffled deck and announces the rank and suit.,Act
"If a player has that card in their hand, they place it faced down on the table.",Duty
"When a player has all of their cards faced down, they shout “Bingo!” and win the round.",Act
Casino is a classic card game for 2 to 4 people and is played with a standard 52 card deck. ,Fact
The objective of Casino is to be the first player to win 21 points.,Fact
"Before gameplay can begin, a dealer must be selected.",Act
"To do so, players must choose a random card from a shuffled deck.",Duty
The player with the lowest card becomes the dealer.,Fact
Ties are broken with repeated drawings.,Fact
"The dealer then deals two cards to their opponents, two cards to the middle, and two cards to themselves.",Act
They do this twice so that everybody has four cards.,Act
The four middle cards are faced up.,Fact
The remaining deck forms the stock.,Fact
Players win cards by matching cards in the middle with cards from their hands.,Act
The simplest way to match cards is to pair up a card in the middle with a card in your hand.,?????
Players can also match cards by building them.,Act
"To build a card, a player can combine a card from their hand with a card in the middle only if the resulting combination matches another card in their hand.",Act
"For example, if a player has a 5 and a 2 in their hand and there is a 3 in the middle, a player can play their 2 on the 3 and say that they are building 5.",Act???
The other players then have an opportunity to either take the built 5 or to continue adding cards to the middle.,Act
"If the other players can't do so, then on the original player's next turn, they may pair up their 5 with the 2 and the 3.",Duty/Act? (they may do x)
Players can also match cards by calling them.,Act
"To call a card, a player can leave a pair in the middle, if they have another card of the same kind in their hand.",Act
"For example, if a player has two 5s in their hand and there is a 5 in the middle, a player can place one of their 5s onto the middle 5 and say they are calling 5.",Act
The other players then have an opportunity to take the called 5 if they have a 5 in their hand.,Act
"If they don't, then on the original player's next turn, they may use their other 5 to take the two middle 5s.",Act
"In Casino, Aces are worth 1.",Fact
Faces cards are not worth anything and must be matched by simple pairing.,Fact
"If a player can not match any cards, they must place one of their cards in the middle.",Duty
"If a player runs out of cards in their hand, they must wait until all players have run out of cards in their hands before the dealer can deal out four more cards to everyone.",Duty
"Concentration, or Memory, is a classic card game for 2 or more players.",Fact
